SL,Heat,Virus,Random
9644,49.69067627,2,0.008686411
3528,49.42617047,0,0.008757039
5735,49.58023209,2,0.008789115
7997,49.42336935,1,0.008873505
296,49.69267707,0,0.008969915
453,49.53701481,2,0.008985168
5843,49.6242497,0,0.00908989
3940,49.70788315,2,0.009110161
5476,49.44817927,2,0.009118687
1594,49.34693878,2,0.009176042
9093,49.71388555,0,0.009200871
7097,49.24769908,2,0.009307294
5783,49.70948379,2,0.009328025
672,49.40336134,2,0.009432261
4588,49.58623449,1,0.009456615
3041,49.45378151,2,0.009472521
4502,49.64705882,2,0.009490417
5244,49.31252501,1,0.009612485
9660,49.36934774,1,0.009675502
4945,50.08923569,0,0.009677512
4156,49.49859944,1,0.009772219
6414,49.16046419,2,0.009776421
5507,49.92637055,2,0.009800628
2776,49.21768707,0,0.009832004
927,49.55622249,1,0.00984285
9539,49.66946779,0,0.009873
283,49.41016407,2,0.009927506
9365,49.69987995,2,0.009928079
9483,49.53581433,0,0.009931046
3418,49.63785514,0,0.010025045
7422,49.57743097,1,0.010067358
7586,49.6322529,1,0.010128076
7149,49.78871549,1,0.01012992
946,49.4789916,1,0.010161335
9399,49.60704282,1,0.010200119
5409,49.81792717,2,0.010219963
2742,49.50340136,2,0.010313388
3128,49.45938375,1,0.010317272
3770,49.62264906,0,0.010330664
9657,49.55662265,1,0.010331237
591,49.65546218,1,0.010357403
140,49.77270908,2,0.010376605
4474,49.38895558,2,0.010458272
6969,49.18767507,1,0.010492307
6999,49.67747099,0,0.010498523
6731,49.62945178,2,0.010505506
1048,49.6382553,1,0.010541406
705,49.38935574,0,0.010604133
5191,49.4057623,1,0.010644752
7454,49.78991597,0,0.010645921
4718,49.76670668,1,0.010646933
6842,49.58783513,1,0.010667034
9559,49.79231693,2,0.01072165
4063,49.70068027,1,0.010811212
6572,49.60104042,0,0.010813798
1672,49.49539816,0,0.010817169
1708,49.58183273,1,0.010817381
60,49.45618247,1,0.010832909
3872,49.60384154,2,0.010836949
2197,49.34373749,2,0.010899681
1617,49.83273309,1,0.01097622
9833,49.57222889,0,0.011040945
4784,49.52821128,2,0.011112243
8689,49.85154062,0,0.011140341
7850,49.80832333,0,0.011157058
7242,49.56262505,0,0.011160155
8964,49.42897159,0,0.011182395
7819,49.49819928,1,0.011188012
7898,49.5190076,2,0.011225042
8399,49.59743898,2,0.011274894
3910,49.41616647,0,0.011277541
6947,49.34853942,0,0.011347526
